Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110118694,RAPPIDX SURFACE,Ignis Traders 2,RPDX0016235,22/09/2021,22/09/2021,22/09/2021,COD,RTO,Bhilwara_RIICO_D (Rajasthan),Delivered,1,2,D1,1399,1399,Bhilwara,Rajasthan,311802,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,25/09/2021,27/09/2021,24/09/2021,24/09/2021,01/10/2021,22/09/2021,01/10/2021
8445110107236,RAPPIDX SURFACE,Renu Enterprises,RPDX0014627,18/09/2021,18/09/2021,18/09/2021,COD,RTO,Titabor_Tiniali_D (Assam),Delivered,1,1,E,1698,1698,Titabor,Assam,785630,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,05/10/2021,25/09/2021,27/09/2021,25/09/2021,25/09/2021,05/10/2021,18/09/2021,05/10/2021
8445110104941,RAPPIDX SURFACE,Ignis Traders 2,RPDX0014218,18/09/2021,18/09/2021,18/09/2021,COD,RTO,Kasganj_BnkrGate_D (Uttar Pradesh),Delivered,3,3,D1,1399,1399,Kasganj,Uttar Pradesh,221712,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,05/10/2021,22/09/2021,21/09/2021,21/09/2021,26/09/2021,05/10/2021,18/09/2021,05/10/2021
8445110109421,RAPPIDX SURFACE,Renu Enterprises,RPDX0014975,20/09/2021,20/09/2021,20/09/2021,COD,RTO,Mumbai_MahapeMIDC_D (Maharashtra),Delivered,1,1,D2,1698,1698,Navi mumbai,Maharashtra,400705,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,05/10/2021,24/09/2021,24/09/2021,24/09/2021,29/09/2021,05/10/2021,20/09/2021,05/10/2021
8445110124235,RAPPIDX SURFACE,Ignis Traders 2,RPDX0017781,24/09/2021,24/09/2021,24/09/2021,COD,RTO,Barkagaon_Ntrjngr_D (Jharkhand),Delivered,1,1,D1,1399,1399,Barkagaon,Jharkhand,825311,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,05/10/2021,28/09/2021,29/09/2021,28/09/2021,28/09/2021,05/10/2021,24/09/2021,05/10/2021
8445110106514,RAPPIDX SURFACE,Ignis Traders 2,RPDX0014396,18/09/2021,18/09/2021,18/09/2021,COD,RTO,Ghatkesar_Central_D_1 (Telangana),Delivered,3,3,C2,1399,1399,Ghatkesar,Telangana,500088,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,22/09/2021,23/09/2021,21/09/2021,21/09/2021,01/10/2021,18/09/2021,01/10/2021
8445110130616,RAPPIDX SURFACE,VJ Enterprises,RPDX0019193,27/09/2021,27/09/2021,27/09/2021,COD,RTO,Malout_DC (Punjab),Delivered,1,1,B,1399,1399,Malout,Punjab,152115,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,TRUE,05/10/2021,29/09/2021,30/09/2021,29/09/2021,29/09/2021,05/10/2021,27/09/2021,05/10/2021
8445110100376,RAPPIDX SURFACE,Renu Enterprises,RPDX0013775,17/09/2021,17/09/2021,17/09/2021,COD,RTO,Bharwara_Snhpur_D (Bihar),Delivered,2,2,D1,1698,1698,Bharwara,Bihar,847104,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,01/10/2021,22/09/2021,23/09/2021,22/09/2021,22/09/2021,01/10/2021,17/09/2021,01/10/2021
8445110108846,RAPPIDX SURFACE,Renu Enterprises,RPDX0014917,20/09/2021,20/09/2021,20/09/2021,COD,RTO,Alwar_TuleraRoad_D (Rajasthan),Delivered,3,3,B,1698,1698,Alwar,Rajasthan,301001,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,01/10/2021,24/09/2021,24/09/2021,23/09/2021,24/09/2021,01/10/2021,20/09/2021,01/10/2021
8445110110456,RAPPIDX SURFACE,Renu Enterprises,RPDX0015078,20/09/2021,20/09/2021,20/09/2021,COD,RTO,Kakdwip_KlngrDPP_D (West Bengal),Delivered,1,1,D2,1698,1698,Kakdwip,West Bengal,743347,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,05/10/2021,25/09/2021,25/09/2021,25/09/2021,25/09/2021,05/10/2021,20/09/2021,05/10/2021
